Specimen,Species,Mean_Mass
Acinonyx_jubatus_1217,Acinonyx_jubatus,46500
Acinonyx_jubatus_1269,Acinonyx_jubatus,46500
Acinonyx_jubatus_162,Acinonyx_jubatus,46500
Acinonyx_jubatus_25602,Acinonyx_jubatus,46500
Atilax_paludinosus_20426,Atilax_paludinosus,3300
Atilax_paludinosus_5330,Atilax_paludinosus,3300
Atilax_paludinosus_6191,Atilax_paludinosus,3300
Atilax_paludinosus_9019,Atilax_paludinosus,3300
Borhyaena_tuberata_YPM_15120,Borhyaena_tuberata,25007
Canis_aureus_42917,Canis_aureus,8100
Canis_aureus_5014,Canis_aureus,8100
Canis_aureus_5016,Canis_aureus,8100
Canis_aureus_698133,Canis_aureus,8100
Canis_dingo_18851,Canis_dingo,15000
Canis_dingo_18970,Canis_dingo,15000
Canis_dingo_3831,Canis_dingo,15000
Canis_dingo_5261,Canis_dingo,15000
Canis_latrans_18994,Canis_latrans,14800
Canis_latrans_19871,Canis_latrans,14800
Canis_latrans_35327,Canis_latrans,14800
Canis_latrans_51589,Canis_latrans,14800
Canis_lupaster_1174,Canis_lupaster,11000
Canis_lupaster_19006,Canis_lupaster,11000
Canis_lupaster_31972,Canis_lupaster,11000
Canis_lupaster_51593,Canis_lupaster,11000
Canis_lupus_168440,Canis_lupus,39100
Canis_lupus_22392,Canis_lupus,39100
Canis_lupus_28797,Canis_lupus,39100
Canis_lupus_4973,Canis_lupus,39100
Canis_simensis_248710,Canis_simensis,14500
Canis_simensis_365204,Canis_simensis,14500
Canis_simensis_52489,Canis_simensis,14500
Canis_simensis_69300,Canis_simensis,14500
Caracal_caracal_15719,Caracal_caracal,12800
Caracal_caracal_873,Caracal_caracal,12800
Caracal_caracal_876,Caracal_caracal,12800
Caracal_caracal_877,Caracal_caracal,12800
Chironectes_minimus_305167,Chironectes_minimus,700
Chironectes_minimus_37482,Chironectes_minimus,700
Chironectes_minimus_517239,Chironectes_minimus,700
Chironectes_minimus_96760,Chironectes_minimus,700
Chrysocyon_brachyurus_44198,Chrysocyon_brachyurus,25000
Chrysocyon_brachyurus_44989,Chrysocyon_brachyurus,25000
Chrysocyon_brachyurus_50753,Chrysocyon_brachyurus,25000
Chrysocyon_brachyurus_6210,Chrysocyon_brachyurus,25000
Civettictis_civetta_1190,Civettictis_civetta,13500
Civettictis_civetta_17711,Civettictis_civetta,13500
Civettictis_civetta_26705,Civettictis_civetta,13500
Civettictis_civetta_3174,Civettictis_civetta,13500
Crocuta_crocuta_19370,Crocuta_crocuta,62500
Crocuta_crocuta_31174,Crocuta_crocuta,62500
Crocuta_crocuta_3269,Crocuta_crocuta,62500
Crocuta_crocuta_8060,Crocuta_crocuta,62500
Cryptoprocta_ferox_100463,Cryptoprocta_ferox,7100
Cryptoprocta_ferox_188213,Cryptoprocta_ferox,7100
Cryptoprocta_ferox_199544,Cryptoprocta_ferox,7100
Cryptoprocta_ferox_21615,Cryptoprocta_ferox,7100
Cuon_alpinus_13524,Cuon_alpinus,15000
Cuon_alpinus_52519,Cuon_alpinus,15000
Cuon_alpinus_56621,Cuon_alpinus,15000
Cuon_alpinus_56622,Cuon_alpinus,15000
Dasyurus_geoffroii_1106,Dasyurus_geoffroii,1100
Dasyurus_geoffroii_1294,Dasyurus_geoffroii,1100
Dasyurus_geoffroii_31560,Dasyurus_geoffroii,1100
Dasyurus_geoffroii_79,Dasyurus_geoffroii,1100
Dasyurus_hallucatus_12410,Dasyurus_hallucatus,525
Dasyurus_hallucatus_17713,Dasyurus_hallucatus,525
Dasyurus_hallucatus_7161,Dasyurus_hallucatus,525
Dasyurus_hallucatus_7168,Dasyurus_hallucatus,525
Dasyurus_maculatus_14721,Dasyurus_maculatus,2700
Dasyurus_maculatus_3470,Dasyurus_maculatus,2700
Dasyurus_maculatus_6107,Dasyurus_maculatus,2700
Dasyurus_maculatus_6119,Dasyurus_maculatus,2700
Dasyurus_viverrinus_530,Dasyurus_viverrinus,1090
Dasyurus_viverrinus_6559,Dasyurus_viverrinus,1090
Dasyurus_viverrinus_7217,Dasyurus_viverrinus,1090
Dasyurus_viverrinus_7221,Dasyurus_viverrinus,1090
Didelphis_marsupialis_133002,Didelphis_marsupialis,1620
Didelphis_marsupialis_133007,Didelphis_marsupialis,1620
Didelphis_marsupialis_84374,Didelphis_marsupialis,1620
Didelphis_marsupialis_998118,Didelphis_marsupialis,1620
Felis_lybica_10927,Felis_lybica,3900
Felis_lybica_10930,Felis_lybica,3900
Felis_lybica_17016,Felis_lybica,3900
Felis_lybica_6154,Felis_lybica,3900
Galerella_sanguinea_24104,Galerella_sanguinea,600
Galerella_sanguinea_4396,Galerella_sanguinea,600
Galerella_sanguinea_4398,Galerella_sanguinea,600
Galerella_sanguinea_4399,Galerella_sanguinea,600
Genetta_maculata_4412,Genetta_maculata,1900
Genetta_maculata_4416,Genetta_maculata,1900
