L,R,Rostral_L,Rostral_R,Neuro_L,Neuro_R,FNP_L,FNP_R,PA_L,PA_R,MES_L,MES_R
2,3,2,3,1,2,2,3,1,2,3,2
4,5,4,5,3,4,4,5,4,5,5,4
6,7,6,7,7,6,6,7,6,7,9,8
8,9,8,9,9,8,9,10,8,9,13,20
12,13,12,13,11,10,22,21,10,11,14,21
14,15,14,15,15,14,25,23,12,13,15,22
16,17,16,17,19,32,26,24,15,14,16,23
18,19,18,19,20,33,27,33,17,16,17,24
20,21,20,21,21,34,28,34,19,20,18,25
22,23,22,23,22,35,29,35,21,22,19,26
26,25,26,25,23,36,30,36,24,23,27,32
28,27,28,27,24,37,31,37,26,25,28,33
30,31,44,39,25,38,32,38,31,27,29,34
32,33,45,40,26,39,39,43,32,28,30,35
36,35,46,41,27,40,40,44,33,29,31,36
38,37,47,42,28,41,41,45,34,30,52,38
40,39,48,43,29,42,42,46,40,35,53,49
42,41,54,49,30,43,66,58,41,36,54,46
46,45,55,50,31,44,67,60,42,37,56,37
61,56,56,51,45,54,68,50,43,38,57,45
62,57,57,52,46,55,69,62,44,39,58,39
63,58,58,53,47,56,70,57,54,45,59,43
64,59,70,59,48,57,71,61,55,46,60,44
65,60,71,60,49,58,72,47,56,47,61,48
71,66,72,61,50,59,73,59,57,48,62,47
72,67,73,62,51,60,74,54,58,49,63,42
73,68,74,63,52,61,75,51,59,50,64,40
74,69,75,64,53,62,76,49,60,51,65,51
75,70,76,65,63,70,77,53,61,52,66,50
87,76,77,66,64,71,78,65,62,53,,
88,77,78,67,65,72,79,56,66,63,,
89,78,79,68,66,73,80,64,67,64,,
90,79,80,69,67,74,81,63,68,65,,
91,80,84,81,68,75,82,55,72,69,,
92,81,85,82,69,76,83,48,73,70,,
93,82,86,83,113,98,84,52,74,71,,
94,83,90,87,114,81,95,88,88,75,,
95,84,91,88,115,80,96,94,89,76,,
96,85,92,89,116,108,97,87,90,77,,
97,86,129,115,117,92,98,91,91,78,,
101,98,130,128,118,109,99,92,92,79,,
102,99,131,114,119,95,100,89,93,80,,
103,100,132,117,120,91,101,85,94,81,,
107,104,133,101,121,87,102,86,95,82,,
108,105,134,108,122,94,103,90,96,83,,
109,106,135,123,123,77,104,93,97,84,,
123,110,136,98,124,93,,,98,85,,
124,111,137,112,125,82,,,99,86,,
125,112,138,119,126,105,,,100,87,,
126,113,139,99,127,84,,,112,101,,
127,114,140,97,128,106,,,113,102,,
128,115,141,120,129,97,,,114,103,,
129,116,142,93,130,78,,,115,104,,
130,117,143,116,131,89,,,116,105,,
131,118,144,124,132,79,,,117,106,,
132,119,145,109,133,90,,,118,107,,
133,120,146,122,134,104,,,119,108,,
134,121,147,118,135,99,,,120,109,,
135,122,148,105,136,101,,,121,110,,
147,136,149,100,137,83,,,122,111,,
148,137,150,95,138,100,,,128,123,,
149,138,151,107,139,88,,,129,124,,
150,139,152,127,140,85,,,130,125,,
151,140,153,111,141,96,,,131,126,,
152,141,154,126,142,112,,,132,127,,
153,142,155,113,143,103,,,133,137,,
154,143,156,125,144,111,,,134,138,,
155,144,157,110,145,110,,,135,139,,
156,145,158,94,146,86,,,136,140,,
157,146,159,121,147,102,,,141,144,,
163,158,160,103,148,107,,,142,145,,
164,159,161,102,,,,,143,146,,
165,160,162,96,,,,,164,157,,
166,161,163,106,,,,,165,163,,
167,162,164,104,,,,,166,155,,
171,184,,,,,,,167,150,,
172,185,,,,,,,168,159,,
173,186,,,,,,,169,151,,
174,187,,,,,,,170,149,,
175,188,,,,,,,171,162,,
176,189,,,,,,,172,161,,
177,190,,,,,,,173,158,,
178,191,,,,,,,174,148,,
179,192,,,,,,,175,156,,
180,193,,,,,,,176,147,,
181,194,,,,,,,177,160,,
182,195,,,,,,,178,153,,
183,196,,,,,,,179,152,,
197,206,,,,,,,180,154,,
198,207,,,,,,,193,188,,
199,208,,,,,,,194,182,,
200,209,,,,,,,195,185,,
201,210,,,,,,,196,186,,
202,211,,,,,,,197,183,,
203,212,,,,,,,198,181,,
204,213,,,,,,,199,191,,
205,214,,,,,,,200,189,,
215,222,,,,,,,201,184,,
216,223,,,,,,,202,187,,
217,224,,,,,,,203,190,,
218,225,,,,,,,204,192,,
219,226,,,,,,,,,,
220,227,,,,,,,,,,
221,228,,,,,,,,,,
285,236,,,,,,,,,,
292,261,,,,,,,,,,
299,242,,,,,,,,,,
278,229,,,,,,,,,,
277,256,,,,,,,,,,
289,247,,,,,,,,,,
267,250,,,,,,,,,,
288,263,,,,,,,,,,
284,241,,,,,,,,,,
281,245,,,,,,,,,,
279,252,,,,,,,,,,
300,240,,,,,,,,,,
294,230,,,,,,,,,,
