Species,ID,Sex,CBL,OCW,CARN,PL,CB,IOB,POP,POC,ZB
Canis_dingo,NMV_37042,U,163,35.4,58,85.5,31.6,32.4,50.9,38,101.1
Canis_dingo,SAM_1968,U,165.7,34.4,57.6,87.6,32.4,33.6,50.5,33.3,95.93
Canis_dingo,AM_18876,U,168.5,34.5,57.2,88.3,31.4,31.1,48.3,35,94.2
Canis_dingo,AM_18970,F,168.9,33.9,56.4,89.2,32.6,32.4,48.3,30.3,95.8
Canis_dingo,SAM_1962,F,169.5,34.6,61.6,88.1,32.1,37,54.9,38.1,103.4
Canis_dingo,SAM_23772,U,169.5,34.9,57.6,88.8,32.1,33,50.8,33.5,96.2
Canis_dingo,AM_18877,U,170.6,33.4,56.1,88.1,31.5,33.8,50.7,35.2,95.9
Canis_dingo,AM_38587,U,171,34.4,59.5,86.1,31.8,34.4,48.8,29.7,102.2
Canis_dingo,AM_18853,U,171.4,34.1,59.9,83.4,34.6,34.7,53.4,36,104.6
Canis_dingo,NMV_32222,U,172.2,34.9,56.8,86.9,33.2,33.2,48,37,96.9
Canis_dingo,SAM_61,U,174.8,35,63.2,91.2,36,35.9,54.6,33.9,103.7
Canis_dingo,WAM_6148,F,175,37.4,59,91.6,33.7,33.8,49.1,35.3,98
Canis_dingo,AM_18879,U,175.2,35.7,60.9,91.3,34.3,35.6,52.3,36.9,103.5
Canis_dingo,SAM_1963,M,176.8,34.8,60.9,91.1,34,34.4,48.1,38.1,103.6
Canis_dingo,NMV_32221,U,177.1,37.5,62.2,90.1,35.5,35.2,50.7,37.6,103.3
Canis_dingo,SAM_4687,U,177.5,34.8,57.3,93.3,34,33.5,53,34.6,97.5
Canis_dingo,SAM_24442,U,178,37.4,61.4,91.9,34.6,35.6,33.3,36.5,103.8
Canis_dingo,SAM_20622,U,179,38.9,59.8,91.6,35.4,31.6,46.8,30.9,101.7
Canis_dingo,SAM_8278,M,181.6,37.1,64.6,95.2,36.2,32.8,49.8,34.2,105.8
Canis_dingo,SAM_718F,U,182.5,38.6,60,91.3,36.5,34.8,52.8,33.4,103.4
Canis_dingo,AM_18851,M,182.7,37.1,61.2,94.6,36.6,37.2,53.6,40.6,102.9
Canis_dingo,SAM_2933,U,183.9,37.4,60.9,93.5,37.1,37.7,56.3,36.3,102.5
Canis_dingo,WAM_4567,F,184,37.1,60,96.5,35,35.7,54.6,33.9,102.7
Canis_dingo,AM_19012,M,184.5,37.6,61.4,96.5,35.7,37.8,57.6,39.3,105.6
Canis_dingo,SAM_1965,U,185.45,38.45,64.1,93.3,37.1,40.98,54.95,37.15,107.4
Canis_dingo,AM_18961,M,185.9,38.3,62.4,97.4,36.1,38.3,57.9,36.6,105.4
Canis_dingo,AM_19,U,186.3,38.9,61.6,96.4,35.3,36.7,53.5,37.7,104.8
Canis_dingo,WAM_4623,F,186.3,36.9,63.7,98.7,35.9,39.4,58.6,38.7,106.4
Canis_dingo,SAM_2020,U,186.8,39,58.7,97.6,35.6,40.1,56.1,37.7,107.3
Canis_dingo,AM_19010,M,186.9,38.8,60.4,97.3,34.2,35.9,51.5,35.5,103
Canis_dingo,WAM_3831,F,187.3,38.5,60.4,95.5,33.9,36.7,54.9,39.5,99.6
