Tips1,Pevsner,Tips2,Polly_Pevsner,Tips3,Muchlinski
3,Rhyncholestes_raphanurus,3,Rhyncholestes_raphanurus,1,Prothylacinus_patagonicus
4,Lestoros_inca,4,Lestoros_inca,2,Borhyaena_tuberata
5,Caenolestes_fuliginosus,5,Caenolestes_fuliginosus,3,Rhyncholestes_raphanurus
7,Monodelphis_adusta,7,Monodelphis_adusta,4,Lestoros_inca
8,Monodelphis_domestica,8,Monodelphis_domestica,5,Caenolestes_fuliginosus
9,Monodelphis_brevicaudata,9,Monodelphis_brevicaudata,6,Glironia_venusta
10,Marmosa_mexicana,10,Marmosa_mexicana,8,Monodelphis_domestica
11,Marmosa_robinsoni,11,Marmosa_robinsoni,12,Marmosa_rubra
13,Marmosa_murina,13,Marmosa_murina,13,Marmosa_murina
14,Marmosa_regina,14,Marmosa_regina,18,Thylamys_elegans
15,Gracilinanus_agilis,15,Gracilinanus_agilis,21,Metachirus_nudicaudatus
16,Gracilinanus_marica,16,Gracilinanus_marica,22,Lutreolina_crassicaudata
17,Gracilinanus_microtarsus,17,Gracilinanus_microtarsus,23,Philander_opossum
18,Thylamys_elegans,18,Thylamys_elegans,24,Philander_andersoni
19,Marmosops_noctivagus,19,Marmosops_noctivagus,26,Didelphis_marsupialis
20,Marmosops_bishopi,20,Marmosops_bishopi,27,Didelphis_albiventris
21,Metachirus_nudicaudatus,21,Metachirus_nudicaudatus,28,Chironectes_minimus
22,Lutreolina_crassicaudata,22,Lutreolina_crassicaudata,29,Caluromys_philander
23,Philander_opossum,23,Philander_opossum,30,Caluromys_lanatus
25,Didelphis_virginiana,25,Didelphis_virginiana,31,Caluromys_derbianus
26,Didelphis_marsupialis,26,Didelphis_marsupialis,33,Dromiciops_gliroides
28,Chironectes_minimus,28,Chironectes_minimus,34,Notoryctes_typhlops
29,Caluromys_philander,29,Caluromys_philander,35,Macrotis_lagotis
30,Caluromys_lanatus,30,Caluromys_lanatus,36,Perameles_gunnii
31,Caluromys_derbianus,31,Caluromys_derbianus,37,Perameles_nasuta
32,Caluromysiops_irrupta,32,Caluromysiops_irrupta,39,Isoodon_obesulus
33,Dromiciops_gliroides,33,Dromiciops_gliroides,40,Echymipera_kalubu
34,Notoryctes_typhlops,34,Notoryctes_typhlops,41,Phascogale_calura
36,Perameles_gunnii,36,Perameles_gunnii,43,Antechinus_flavipes
38,Isoodon_macrourus,38,Isoodon_macrourus,44,Antechinus_swainsonii
39,Isoodon_obesulus,39,Isoodon_obesulus,45,Dasyurus_hallucatus
40,Echymipera_kalubu,40,Echymipera_kalubu,46,Sarcophilus_harrisii
42,Antechinus_stuartii,42,Antechinus_stuartii,47,Dasyurus_maculatus
45,Dasyurus_hallucatus,45,Dasyurus_hallucatus,48,Dasyurus_viverrinus
46,Sarcophilus_harrisii,46,Sarcophilus_harrisii,49,Dasyuroides_byrnei
47,Dasyurus_maculatus,47,Dasyurus_maculatus,50,Planigale_maculata
48,Dasyurus_viverrinus,48,Dasyurus_viverrinus,51,Sminthopsis_butleri
