"","Species","Cranium","Rostrum","Neurocranium","FNP","PA","Mes"
"Acinonyx_jubatus","Acinonyx_jubatus",0.2603,0.3916,0.1443,0.2653,0.2671,0.1523
"Andrewsarchus_mongoliensis","Andrewsarchus_mongoliensis",0.1748,0.2253,0.1823,0.1774,0.1824,0.2603
"Atilax_paludinosus","Atilax_paludinosus",0.2673,0.3763,0.2087,0.2577,0.2618,0.2184
"Borhyaena_tuberata","Borhyaena_tuberata",0.1659,0.2705,0.1158,0.1792,0.1573,0.1692
"Canis_aureus","Canis_aureus",0.1401,0.1834,0.1432,0.1271,0.1352,0.2001
"Canis_dingo","Canis_dingo",0.1279,0.174,0.1203,0.1067,0.1192,0.1499
"Canis_latrans","Canis_latrans",0.1191,0.1591,0.1293,0.102,0.1051,0.1633
"Canis_lupaster","Canis_lupaster",0.1215,0.1751,0.1194,0.0989,0.1135,0.1632
"Canis_lupus","Canis_lupus",0.1238,0.1871,0.1105,0.0955,0.1227,0.136
"Canis_simensis","Canis_simensis",0.1269,0.1601,0.1458,0.1251,0.1023,0.166
"Caracal_caracal","Caracal_caracal",0.2616,0.3998,0.155,0.2441,0.2812,0.1801
"Chironectes_minimus","Chironectes_minimus",0.1548,0.2714,0.1381,0.1655,0.159,0.1897
"Chrysocyon_brachyurus","Chrysocyon_brachyurus",0.1187,0.1457,0.1305,0.091,0.0939,0.144
"Civettictis_civetta","Civettictis_civetta",0.1492,0.194,0.1652,0.1048,0.142,0.1651
"Crocuta_crocuta","Crocuta_crocuta",0.2186,0.3185,0.1568,0.1748,0.2253,0.1776
"Cryptoprocta_ferox","Cryptoprocta_ferox",0.2098,0.3426,0.1546,0.1989,0.2205,0.1782
"Cuon_alpinus","Cuon_alpinus",0.155,0.2297,0.1191,0.123,0.1622,0.1571
"Dasyurus_geoffroii","Dasyurus_geoffroii",0.1363,0.2208,0.1239,0.1437,0.1367,0.178
"Dasyurus_hallucatus","Dasyurus_hallucatus",0.1442,0.232,0.1284,0.1524,0.1464,0.2048
"Dasyurus_maculatus","Dasyurus_maculatus",0.1273,0.1931,0.1103,0.136,0.1217,0.1481
"Dasyurus_viverrinus","Dasyurus_viverrinus",0.1173,0.1954,0.1095,0.1284,0.1219,0.1708
"Didelphis_marsupialis","Didelphis_marsupialis",0.1477,0.2469,0.1358,0.1585,0.1511,0.1297
"Felis_lybica","Felis_lybica",0.2834,0.4059,0.2147,0.3136,0.3019,0.2605
"Galerella_sanguinea","Galerella_sanguinea",0.2754,0.3475,0.256,0.2567,0.2626,0.2341
"Genetta_maculata","Genetta_maculata",0.2048,0.2527,0.1974,0.1988,0.1878,0.1861
"Gulo_gulo","Gulo_gulo",0.2683,0.3976,0.1626,0.2834,0.2831,0.2119
"Herpailurus_yagouaroundi","Herpailurus_yagouaroundi",0.2854,0.4252,0.2225,0.3468,0.2886,0.2831
"Leopardus_pardalis","Leopardus_pardalis",0.2663,0.4073,0.1677,0.2851,0.2799,0.197
"Leptailurus_serval","Leptailurus_serval",0.2515,0.3715,0.1678,0.2629,0.2623,0.1804
"Lupulella_adusta","Lupulella_adusta",0.1115,0.1443,0.1327,0.1017,0.0994,0.1643
"Lupulella_mesomelas","Lupulella_mesomelas",0.1257,0.1478,0.1489,0.108,0.1118,0.198
"Lutreolina_crassicaudata","Lutreolina_crassicaudata",0.1873,0.3021,0.1441,0.2029,0.1835,0.1178
"Lycalopex_culpaeus","Lycalopex_culpaeus",0.1134,0.145,0.1271,0.11,0.1001,0.1555
"Lycalopex_gymnocercus","Lycalopex_gymnocercus",0.1306,0.1419,0.1591,0.1256,0.113,0.2256
"Lycaon_pictus","Lycaon_pictus",0.1606,0.2502,0.1181,0.1097,0.1759,0.1509
"Lynx_lynx","Lynx_lynx",0.2563,0.389,0.1521,0.2473,0.2781,0.1744
"Martes_martes","Martes_martes",0.2355,0.3006,0.1969,0.2269,0.2276,0.2406
"Mephitis_mephitis","Mephitis_mephitis",0.2745,0.3885,0.1967,0.2842,0.2841,0.2418
"Neovison_vison","Neovison_vison",0.2998,0.397,0.2395,0.2774,0.2935,0.2678
"Nimbacinus_dicksoni","Nimbacinus_dicksoni",0.1041,0.1205,0.119,0.1109,0.0934,0.1335
"Otocyon_megalotis","Otocyon_megalotis",0.2074,0.1836,0.2705,0.2402,0.1545,0.42
"Panthera_onca","Panthera_onca",0.2463,0.3714,0.1298,0.2151,0.2653,0.1464
"Panthera_pardus","Panthera_pardus",0.2361,0.3647,0.144,0.2124,0.254,0.1631
"Panthera_uncia","Panthera_uncia",0.2596,0.3921,0.154,0.2539,0.2849,0.1577
"Parahyaena_brunnea","Parahyaena_brunnea",0.2049,0.2973,0.1343,0.1701,0.2115,0.2097
"Philander_opossum","Philander_opossum",0.1503,0.2482,0.1385,0.1627,0.1486,0.1705
"Procyon_lotor","Procyon_lotor",0.2442,0.3202,0.1793,0.2311,0.2564,0.2388
"Proteles_cristatus","Proteles_cristatus",0.1939,0.2473,0.2054,0.1889,0.1987,0.2842
"Puma_concolor","Puma_concolor",0.2629,0.41,0.1511,0.2563,0.2865,0.1581
"Sarcophilus_harrisii","Sarcophilus_harrisii",0.1733,0.285,0.1179,0.1847,0.1949,0.1447
"Speothos_venaticus","Speothos_venaticus",0.2039,0.277,0.1444,0.1844,0.1975,0.1476
"Urocyon_cinereoargenteus","Urocyon_cinereoargenteus",0.1783,0.1546,0.2244,0.242,0.1301,0.3727
"Viverra_tangalunga","Viverra_tangalunga",0.1632,0.1771,0.1862,0.1393,0.1396,0.1782
"Viverra_zibetha","Viverra_zibetha",0.1755,0.1795,0.2089,0.1687,0.1446,0.1971
"Viverricula_indica","Viverricula_indica",0.2104,0.2826,0.1941,0.1701,0.1893,0.2024
"Vulpes_chama","Vulpes_chama",0.1623,0.1686,0.1895,0.1915,0.1384,0.3048
"Vulpes_lagopus","Vulpes_lagopus",0.1453,0.1681,0.153,0.1422,0.1437,0.2126
"Vulpes_rueppellii","Vulpes_rueppellii",0.1722,0.1553,0.2183,0.2283,0.1313,0.3498
"Vulpes_vulpes","Vulpes_vulpes",0.1249,0.1349,0.1487,0.137,0.1095,0.2218
