,,INTERCEPTS,,,,,,SLOPES,,,,
Species 1,Species 2,Elev1,Elev2,TestStat,p,,Species 1,Species2,Slope1,Slope2,TestStat,p
Width across carnassials,,,,,,,Width across carnassials,,,,,
Canis_dingo,Canis_lupus,3.08,5.98,10.63,0.001,,Canis_dingo,Canis_latrans,0.88,1.39,8.41,0.004
Canis_dingo,Lupulella_adusta,7.50,5.13,4.73,0.030,,Canis_latrans,Canis_lupus,1.39,0.96,7.21,0.007
Canis_dingo,Thylacinus_cynocephalus,15.30,12.22,56.03,0.000,,Canis_latrans,Thylacinus_cynocephalus,1.39,0.77,16.75,0.000
Canis_dingo,Vulpes_vulpes,5.68,2.06,14.21,0.000,,Canis_latrans,Vulpes_vulpes,1.39,0.98,5.83,0.016
Canis_lupus,Lupulella_adusta,4.09,0.36,4.42,0.036,,Canis_lupus,Thylacinus_cynocephalus,0.96,0.77,6.25,0.012
Canis_lupus,Vulpes_vulpes,5.11,-0.38,12.34,0.000,,Thylacinus_cynocephalus,Vulpes_vulpes,0.77,0.98,5.48,0.019
Lupulella_adusta,Vulpes_vulpes,3.01,1.45,7.94,0.005,,,,,,,
Lycalopex_gymnocercus,Thylacinus_cynocephalus,9.62,13.11,10.19,0.001,,,,,,,
Width across canines,,,,,,,Width across canines,,,,,
Canis_dingo,Lycalopex_gymnocercus,-9.57,-7.37,4.39,0.036,,Canis_dingo,Canis_latrans,1.25,1.79,6.29,0.012
Canis_dingo,Thylacinus_cynocephalus,-8.87,-12.85,236.57,0.000,,Canis_latrans,Canis_lupus,1.79,1.10,12.06,0.001
Canis_dingo,Vulpes_vulpes,-9.84,-7.73,6.74,0.009,,Canis_latrans,Thylacinus_cynocephalus,1.79,1.35,5.70,0.017
Canis_latrans,Lupulella_adusta,-22.99,-19.84,12.85,0.000,,Canis_lupus,Thylacinus_cynocephalus,1.10,1.35,6.43,0.011
Canis_latrans,Lycalopex_gymnocercus,-17.98,-12.67,19.90,0.000,,,,,,,
Canis_latrans,Vulpes_vulpes,-17.51,-12.99,29.92,0.000,,,,,,,
Lupulella_adusta,Lycalopex_gymnocercus,-11.89,-9.57,10.14,0.001,,,,,,,
Lupulella_adusta,Thylacinus_cynocephalus,-8.87,-13.09,64.70,0.000,,,,,,,
Lupulella_adusta,Vulpes_vulpes,-12.05,-10.12,16.59,0.000,,,,,,,
Lycalopex_gymnocercus,Thylacinus_cynocephalus,-7.00,-13.03,118.29,0.000,,,,,,,
Thylacinus_cynocephalus,Vulpes_vulpes,-13.08,-7.17,158.60,0.000,,,,,,,
Occipital condyle width,,,,,,,Occipital condyle width,,,,,
Lycalopex_gymnocercus,Vulpes_vulpes,1.77,-0.10,16.55,0.000,,Canis_dingo,Thylacinus_cynocephalus,1.16,0.79,10.46,0.001
,,,,,,,Canis_latrans,Thylacinus_cynocephalus,1.47,0.79,11.45,0.001
,,,,,,,Canis_lupus,Thylacinus_cynocephalus,1.12,0.79,8.13,0.004
Palate length,,,,,,,,,,,,
Canis_dingo,Canis_latrans,-11.21,-5.68,32.38,0.000,,,,,,,
Canis_dingo,Lupulella_adusta,-7.58,2.50,28.99,0.000,,,,,,,
Canis_dingo,Lycalopex_gymnocercus,-1.27,3.87,3.89,0.048,,,,,,,
Canis_dingo,Thylacinus_cynocephalus,-11.32,-2.60,202.78,0.000,,,,,,,
Canis_dingo,Vulpes_vulpes,-11.53,-4.00,14.27,0.000,,,,,,,
Canis_latrans,Canis_lupus,-8.22,-15.77,10.57,0.001,,,,,,,
Canis_latrans,Lupulella_adusta,-25.36,-17.17,11.00,0.001,,,,,,,
Canis_latrans,Thylacinus_cynocephalus,-7.12,-4.21,9.58,0.002,,,,,,,
Canis_latrans,Vulpes_vulpes,-22.59,-17.06,5.22,0.022,,,,,,,
Canis_lupus,Lupulella_adusta,-12.45,-0.40,13.16,0.000,,,,,,,
Canis_lupus,Thylacinus_cynocephalus,-13.07,-3.05,138.33,0.000,,,,,,,
Canis_lupus,Vulpes_vulpes,-15.63,-5.68,8.64,0.003,,,,,,,
Lupulella_adusta,Thylacinus_cynocephalus,-1.28,-3.72,3.41,0.065,,,,,,,
Lupulella_adusta,Vulpes_vulpes,-11.75,-14.24,3.70,0.054,,,,,,,
Width across zygomatic arches,,,,,,,,,,,,
Canis_latrans,Thylacinus_cynocephalus,-41.54,-44.75,10.54,0.001,,Canis_dingo,Thylacinus_cynocephalus,1.03,1.37,9.36,0.002
Canis_latrans,Vulpes_vulpes,-11.33,-7.60,4.64,0.031,,Canis_lupus,Thylacinus_cynocephalus,1.00,1.37,10.72,0.001
Lupulella_adusta,Thylacinus_cynocephalus,-37.06,-45.00,20.86,0.000,,Lycalopex_gymnocercus,Thylacinus_cynocephalus,0.97,1.37,7.71,0.006
Lupulella_adusta,Vulpes_vulpes,-3.96,-0.99,8.24,0.004,,Thylacinus_cynocephalus,Vulpes_vulpes,1.37,1.03,9.11,0.003
