"","Species_1","Species_2","Pval","TestStat","df","Slope1","Slope2"
"1","Width across carnassials","","","","","",""
"12","Canis_dingo","Canis_latrans","0.00372619329704837","8.41264900012049","1","0.877194238696871","1.39045593438142"
"7","Canis_latrans","Canis_lupus","0.00726875587673759","7.20532565397838","1","1.39045593438142","0.955524535726541"
"10","Canis_latrans","Thylacinus_cynocephalus","4.26727788733761e-05","16.7486427544939","1","1.39045593438142","0.774856112081925"
"11","Canis_latrans","Vulpes_vulpes","0.0157706959103308","5.82826208977925","1","1.39045593438142","0.975016891168268"
"14","Canis_lupus","Thylacinus_cynocephalus","0.0124010309533007","6.25261199925563","1","0.955524535726541","0.774856112081925"
"21","Thylacinus_cynocephalus","Vulpes_vulpes","0.0192606427475264","5.47769480902372","1","0.774856112081925","0.975016891168268"
"8","Width across canines","","","","","",""
"15","Canis_dingo","Canis_latrans","0.0121250673031769","6.29248885233752","1","1.24660727472433","1.79024355351521"
"71","Canis_latrans","Canis_lupus","0.000516396368680061","12.0555057359864","1","1.79024355351521","1.10087167440532"
"101","Canis_latrans","Thylacinus_cynocephalus","0.016961969520816","5.7003045507146","1","1.79024355351521","1.35277120561677"
"141","Canis_lupus","Thylacinus_cynocephalus","0.0112087747818794","6.43191368445166","1","1.10087167440532","1.35277120561677"
"13","Occipital condyle width","","","","","",""
"5","Canis_dingo","Thylacinus_cynocephalus","0.00121789464907629","10.4629979745377","1","0.861335989310051","1.26500224176479"
"102","Canis_latrans","Thylacinus_cynocephalus","0.000715455088473704","11.4486616946951","1","0.680669070683927","1.26500224176479"
"142","Canis_lupus","Thylacinus_cynocephalus","0.00435750986656258","8.12848685535995","1","0.894072735168565","1.26500224176479"
"17","Palate length","","","","","",""
"18","Width across zygomatic arches","","","","","",""
"51","Canis_dingo","Thylacinus_cynocephalus","0.00222222029870145","9.35628567755608","1","1.02889321030113","1.37002101901325"
"143","Canis_lupus","Thylacinus_cynocephalus","0.00106088536888627","10.718170141877","1","1.00322505319484","1.37002101901325"
"19","Lycalopex_gymnocercus","Thylacinus_cynocephalus","0.00550267431606","7.70635527524038","1","0.970716024845822","1.37002101901325"
"211","Thylacinus_cynocephalus","Vulpes_vulpes","0.00254197186305738","9.11013446285748","1","1.37002101901325","1.0271095732656"
