"","Std..Error","t.value","Rsq","p"
"X","Cranium",NA,NA,NA
"PC1","0.011","1.162","0.02","0.250"
"PC2","0.013","-3.913","0.21","0.000"
"PC3","0.007","10.391","0.65","0.000"
"PC4","0.006","8.572","0.56","0.000"
"PC5","0.005","-6.139","0.40","0.000"
"PC6","0.005","5.311","0.33","0.000"
"PC7","0.005","-1.301","0.03","0.198"
"PC8","0.005","-0.550","0.01","0.585"
"PC9","0.004","6.948","0.46","0.000"
"PC10","0.005","-5.746","0.37","0.000"
"X.1","Rostrum",NA,NA,NA
"PC1.1","0.022","-0.754","0.01","0.454"
"PC2.1","0.012","1.161","0.02","0.250"
"PC3.1","0.006","-9.241","0.60","0.000"
"PC4.1","0.008","-12.796","0.74","0.000"
"PC5.1","0.007","-7.455","0.49","0.000"
"PC6.1","0.005","1.915","0.06","0.061"
"PC7.1","0.006","2.446","0.10","0.018"
"PC8.1","0.005","-1.412","0.03","0.163"
"PC9.1","0.004","-2.974","0.13","0.004"
"PC10.1","0.006","-5.702","0.36","0.000"
"X.2","Neurocranium",NA,NA,NA
"PC1.2","0.012","6.967","0.46","0.000"
"PC2.2","0.007","10.079","0.64","0.000"
"PC3.2","0.008","2.296","0.08","0.025"
"PC4.2","0.005","8.511","0.56","0.000"
"PC5.2","0.006","-0.704","0.01","0.484"
"PC6.2","0.005","6.845","0.45","0.000"
"PC7.2","0.005","-9.671","0.62","0.000"
"PC8.2","0.005","-5.439","0.34","0.000"
"PC9.2","0.004","4.883","0.29","0.000"
"PC10.2","0.004","4.809","0.29","0.000"
"X.3","Frontonasal Process",NA,NA,NA
"PC1.3","0.018","5.303","0.33","0.000"
"PC2.3","0.018","-6.246","0.41","0.000"
"PC3.3","0.012","5.096","0.31","0.000"
"PC4.3","0.006","3.066","0.14","0.003"
"PC5.3","0.011","-4.524","0.26","0.000"
"PC6.3","0.008","-2.195","0.08","0.032"
"PC7.3","0.006","-4.846","0.29","0.000"
"PC8.3","0.008","-5.419","0.34","0.000"
"PC9.3","0.006","-5.048","0.31","0.000"
"PC10.3","0.005","-4.079","0.23","0.000"
"X.4","First Pharyngeal Arch",NA,NA,NA
"PC1.4","0.013","-1.976","0.06","0.053"
"PC2.4","0.006","6.571","0.43","0.000"
"PC3.4","0.005","-14.008","0.77","0.000"
"PC4.4","0.004","-0.908","0.01","0.368"
"PC5.4","0.004","11.739","0.71","0.000"
"PC6.4","0.005","-3.020","0.14","0.004"
"PC7.4","0.005","3.243","0.16","0.002"
"PC8.4","0.003","0.516","0.00","0.608"
"PC9.4","0.004","-0.626","0.01","0.534"
"PC10.4","0.003","2.268","0.08","0.027"
"X.5","Paraxial Mesoderm",NA,NA,NA
"PC1.5","0.022","5.715","0.36","0.000"
"PC2.5","0.009","-10.963","0.68","0.000"
"PC3.5","0.008","3.022","0.14","0.004"
"PC4.5","0.009","-5.686","0.36","0.000"
"PC5.5","0.007","-2.635","0.11","0.011"
"PC6.5","0.012","-1.957","0.06","0.055"
"PC7.5","0.009","-6.145","0.40","0.000"
"PC8.5","0.004","4.761","0.28","0.000"
"PC9.5","0.004","7.606","0.50","0.000"
"PC10.5","0.005","-0.460","0.00","0.647"
